GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV,PERIOD,GAMES_FROM_RETURN,INJURY_DATE,PTS_ROLLING_AVG,REB_ROLLING_AVG,AST_ROLLING_AVG,STL_ROLLING_AVG,BLK_ROLLING_AVG,TOV_ROLLING_AVG,PLAYER,TEAM,INJURY_SEASON,INJURY_TYPE
2024-10-23,CHA @ HOU,W,25,8,4,1,1,1,2,Before,-16,2024-11-23,8.0,4.0,1.0,1.0,1.0,2.0,Grant Williams,CHA,2024-25,ACL
2024-10-25,CHA @ ATL,L,29,9,4,6,1,0,1,Before,-15,2024-11-23,8.5,4.0,3.5,1.0,0.5,1.5,Grant Williams,CHA,2024-25,ACL
2024-10-26,CHA vs. MIA,L,19,7,2,1,1,0,2,Before,-14,2024-11-23,8.0,3.3333333333333335,2.6666666666666665,1.0,0.3333333333333333,1.6666666666666667,Grant Williams,CHA,2024-25,ACL
2024-10-30,CHA vs. TOR,W,23,17,2,5,2,0,2,Before,-13,2024-11-23,10.25,3.0,3.25,1.25,0.25,1.75,Grant Williams,CHA,2024-25,ACL
2024-11-01,CHA vs. BOS,L,30,6,7,3,1,1,2,Before,-12,2024-11-23,9.4,3.8,3.2,1.2,0.4,1.8,Grant Williams,CHA,2024-25,ACL
2024-11-02,CHA vs. BOS,L,34,5,3,2,0,0,0,Before,-11,2024-11-23,8.8,3.6,3.4,1.0,0.2,1.4,Grant Williams,CHA,2024-25,ACL
2024-11-04,CHA @ MIN,L,22,5,3,1,2,0,1,Before,-10,2024-11-23,8.0,3.4,2.4,1.2,0.2,1.4,Grant Williams,CHA,2024-25,ACL
2024-11-06,CHA vs. DET,W,27,12,7,2,2,1,3,Before,-9,2024-11-23,9.0,4.4,2.6,1.4,0.4,1.6,Grant Williams,CHA,2024-25,ACL
2024-11-08,CHA vs. IND,W,31,8,9,1,1,1,3,Before,-8,2024-11-23,7.2,5.8,1.8,1.2,0.6,1.8,Grant Williams,CHA,2024-25,ACL
2024-11-10,CHA @ PHI,L,38,17,4,2,2,3,3,Before,-7,2024-11-23,9.4,5.2,1.6,1.4,1.0,2.0,Grant Williams,CHA,2024-25,ACL
2024-11-12,CHA @ ORL,L,31,15,4,1,2,0,2,Before,-6,2024-11-23,11.4,5.4,1.4,1.8,1.0,2.4,Grant Williams,CHA,2024-25,ACL
2024-11-16,CHA vs. MIL,W,30,6,7,2,0,1,0,Before,-5,2024-11-23,11.6,6.2,1.6,1.4,1.2,2.2,Grant Williams,CHA,2024-25,ACL
2024-11-17,CHA @ CLE,L,35,15,9,3,1,0,1,Before,-4,2024-11-23,12.2,6.6,1.8,1.2,1.0,1.8,Grant Williams,CHA,2024-25,ACL
2024-11-19,CHA @ BKN,L,33,16,7,4,0,3,3,Before,-3,2024-11-23,13.8,6.2,2.4,1.0,1.4,1.8,Grant Williams,CHA,2024-25,ACL
2024-11-21,CHA vs. DET,W,40,12,3,1,1,1,2,Before,-2,2024-11-23,12.8,6.0,2.2,0.8,1.0,1.6,Grant Williams,CHA,2024-25,ACL
2024-11-23,CHA @ MIL,L,32,8,7,2,1,1,1,Before,-1,2024-11-23,11.4,6.6,2.4,0.6,1.2,1.4,Grant Williams,CHA,2024-25,ACL
2026-01-10,CHA @ UTA,W,14,9,8,0,0,0,0,After,1,2024-11-23,9.0,8.0,0.0,0.0,0.0,0.0,Grant Williams,CHA,2024-25,ACL
2026-01-12,CHA @ LAC,L,13,7,2,0,0,0,0,After,2,2024-11-23,8.0,5.0,0.0,0.0,0.0,0.0,Grant Williams,CHA,2024-25,ACL
2026-01-15,CHA @ LAL,W,13,3,3,0,0,1,0,After,3,2024-11-23,6.333333333333333,4.333333333333333,0.0,0.0,0.3333333333333333,0.0,Grant Williams,CHA,2024-25,ACL
2026-01-17,CHA @ GSW,L,18,7,0,2,1,1,1,After,4,2024-11-23,6.5,3.25,0.5,0.25,0.5,0.25,Grant Williams,CHA,2024-25,ACL
2026-01-21,CHA vs. CLE,L,25,0,5,4,3,0,1,After,5,2024-11-23,5.2,3.6,1.2,0.8,0.4,0.4,Grant Williams,CHA,2024-25,ACL
2026-01-24,CHA vs. WAS,W,19,2,1,1,1,0,1,After,6,2024-11-23,3.8,2.2,1.4,1.0,0.4,0.6,Grant Williams,CHA,2024-25,ACL
2026-01-26,CHA vs. PHI,W,17,9,5,0,0,0,1,After,7,2024-11-23,4.2,2.8,1.4,1.0,0.4,0.8,Grant Williams,CHA,2024-25,ACL
2026-01-28,CHA @ MEM,W,20,2,3,1,0,0,1,After,8,2024-11-23,4.0,2.8,1.6,1.0,0.2,1.0,Grant Williams,CHA,2024-25,ACL
2026-01-31,CHA vs. SAS,W,18,3,4,2,0,0,0,After,9,2024-11-23,3.2,3.6,1.6,0.8,0.0,0.8,Grant Williams,CHA,2024-25,ACL
2026-02-02,CHA vs. NOP,W,20,16,9,1,0,0,1,After,10,2024-11-23,6.4,4.4,1.0,0.2,0.0,0.8,Grant Williams,CHA,2024-25,ACL
2026-02-05,CHA @ HOU,W,16,2,3,0,0,0,1,After,11,2024-11-23,6.4,4.8,0.8,0.0,0.0,0.8,Grant Williams,CHA,2024-25,ACL
