player_name,injury_type,before_season,after_season,injury_date
Grant Williams,ACL,2024-25,2025-26,2024-11-23
De'Anthony Melton,ACL,2024-25,2025-26,2024-11-12
Moritz Wagner,ACL,2024-25,2025-26,2024-12-21
Jayson Tatum,Achilles,2024-25,2025-26,2025-04-11
Dejounte Murray,Achilles,2024-25,2025-26,2025-01-31
Victor Wembanyama,Shoulder (DVT),2024-25,2025-26,2025-02-12
Jalen Williams,Wrist,2024-25,2025-26,2025-04-09
Joel Embiid,Knee,2024-25,2025-26,2025-02-22
Darius Garland,Toe,2024-25,2025-26,2025-04-11
LeBron James,Sciatica,2024-25,2025-26,2025-04-11
LaMelo Ball,Ankle,2024-25,2025-26,2025-03-25
Jared McCain,Knee (meniscus),2024-25,2025-26,2024-12-13
Josh Green,Shoulder,2024-25,2025-26,2025-04-02
Zion Williamson,Hamstring,2024-25,2025-26,2025-03-19
